Product Name,License Type,Product Line (PL),Product Family,Unit of Measure,List Price (USD),PRP Number,Status,Price List
BMC Helix Client Management Nodes,SaaS,ITOM,ITOM SaaS,per node - SaaS ,4.4,PRP-00000540,Generally Available,USA List Prices 
BMC Helix Client Management Nodes (Public Sector),SaaS,ITOM,ITOM SaaS,per node - SaaS ,5.3,PRP-00000329,Transition,USA List Prices 
BMC Helix Cloud Migration,SaaS,ITSM,ITSM SaaS,Each ,8333.33,PRP-00013389,Generally Available,USA List Prices 
BMC Helix Cloud Operations Suite,SaaS,CVT,Cloud Security,per asset - SaaS ,15.96,PRP-00002148,Transition,USA List Prices 
BMC Helix Cognitive Automation - 1000 API Calls,SaaS,ITSM,ITSM SaaS,per API call - SaaS ,482.04,PRP-00003971,Transition,USA List Prices 
BMC Helix Cognitive Automation on AWS - 1000 API Calls,SaaS,ITSM,ITSM SaaS,per API call - SaaS ,482.04,PRP-00003965,Transition,USA List Prices 
BMC Helix Cognitive Search - Up to 1M Documents,SaaS,ITSM,ITSM SaaS,per document - SaaS ,8034.01,PRP-00000564,Transition,USA List Prices 
BMC Helix Continuous Optimization - Resource Unit,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,64.65,PRP-00007267,Generally Available,USA List Prices 
BMC Helix Continuous Optimization - Resource Unit (DoD Impact Level 4),SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,111.82,PRP-00011048,Generally Available,USA List Prices 
BMC Helix Continuous Optimization - Resource Unit (DoD Impact Level 5),SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,134.2,PRP-00010800,Generally Available,USA List Prices 
BMC Helix Continuous Optimization - Resource Unit (FedRAMP),SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,93.17,PRP-00007266,Generally Available,USA List Prices 
BMC Helix Continuous Optimization for Networks Plus,SaaS,ITOM,ITOM SaaS,per asset - average device endpoint - SaaS ,7.6,PRP-00001473,Transition,USA List Prices 
BMC Helix Continuous Optimization for Networks Plus (DoD Impact Level 4),SaaS,ITOM,ITOM SaaS,per asset - average device endpoint - SaaS ,13.14,PRP-00011049,Transition,USA List Prices 
BMC Helix Continuous Optimization for Networks Plus (DoD Impact Level 5),SaaS,ITOM,ITOM SaaS,per asset - average device endpoint - SaaS ,15.83,PRP-00010801,Transition,USA List Prices 
BMC Helix Continuous Optimization for Networks Plus (FedRAMP),SaaS,ITOM,ITOM SaaS,per asset - average device endpoint - SaaS ,10.98,PRP-00001472,Transition,USA List Prices 
BMC Helix Continuous Optimization for Networks Plus on AWS,SaaS,ITOM,ITOM SaaS,per asset - average device endpoint - SaaS ,7.6,PRP-00001471,Transition,USA List Prices 
BMC Helix Continuous Optimization for Serverless Assets Plus (250 Pack),SaaS,ITOM,ITOM SaaS,per asset - average Serverless Asset - SaaS ,697.41,PRP-00003941,Transition,USA List Prices 
BMC Helix Continuous Optimization for Serverless Assets Plus (250-Pack) (DoD Impact Level 4),SaaS,ITOM,ITOM SaaS,per asset - average Serverless Asset - SaaS ,1205.08,PRP-00011050,Transition,USA List Prices 
BMC Helix Continuous Optimization for Serverless Assets Plus (250-Pack) (DoD Impact Level 5),SaaS,ITOM,ITOM SaaS,per asset - average Serverless Asset - SaaS ,1446.11,PRP-00010802,Transition,USA List Prices 
BMC Helix Continuous Optimization for Serverless Assets Plus (250-Pack) (FedRAMP),SaaS,ITOM,ITOM SaaS,per asset - average Serverless Asset - SaaS ,1004.23,PRP-00003940,Transition,USA List Prices 
BMC Helix Continuous Optimization for Serverless Assets Plus on AWS (250 Pack),SaaS,ITOM,ITOM SaaS,per asset - average Serverless Asset - SaaS ,697.41,PRP-00003939,Transition,USA List Prices 
BMC Helix Continuous Optimization for Servers Plus,SaaS,ITOM,ITOM SaaS,per asset - average server endpoint - SaaS ,64.67,PRP-00004609,Transition,USA List Prices 
BMC Helix Continuous Optimization for Servers Plus (DoD Impact Level 4),SaaS,ITOM,ITOM SaaS,per asset - average server endpoint - SaaS ,111.82,PRP-00011051,Transition,USA List Prices 
BMC Helix Continuous Optimization for Servers Plus (DoD Impact Level 5),SaaS,ITOM,ITOM SaaS,per asset - average server endpoint - SaaS ,134.2,PRP-00010803,Transition,USA List Prices 
BMC Helix Continuous Optimization for Servers Plus (FedRAMP),SaaS,ITOM,ITOM SaaS,per asset - average server endpoint - SaaS ,93.17,PRP-00004611,Transition,USA List Prices 
BMC Helix Continuous Optimization for Servers Plus on AWS,SaaS,ITOM,ITOM SaaS,per asset - average server endpoint - SaaS ,64.67,PRP-00004607,Transition,USA List Prices 
BMC Helix Continuous Optimization for Storage Plus,SaaS,ITOM,ITOM SaaS,per asset - average port - SaaS ,38.04,PRP-00000687,Transition,USA List Prices 
BMC Helix Continuous Optimization for Storage Plus (DoD Impact Level 4),SaaS,ITOM,ITOM SaaS,per asset - average port - SaaS ,65.79,PRP-00011052,Transition,USA List Prices 
BMC Helix Continuous Optimization for Storage Plus (DoD Impact Level 5),SaaS,ITOM,ITOM SaaS,per asset - average port - SaaS ,78.93,PRP-00010804,Transition,USA List Prices 
BMC Helix Continuous Optimization for Storage Plus (FedRAMP),SaaS,ITOM,ITOM SaaS,per asset - average port - SaaS ,54.82,PRP-00000689,Transition,USA List Prices 
BMC Helix Continuous Optimization for Storage Plus on AWS,SaaS,ITOM,ITOM SaaS,per asset - average port - SaaS ,38.04,PRP-00000688,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem - Resource Unit,OPS,ITOM,ITOM On Prem,per resource unit ,52.26,PRP-00007271,Generally Available,USA List Prices 
BMC Helix Continuous Optimization OnPrem - Resource Unit,Perpetual,ITOM,ITOM On Prem,per resource unit ,1568,PRP-00007272,Generally Available,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Networks Plus,OPS,ITOM,ITOM On Prem,per managed asset - average Device Endpoint ,6.13,PRP-00007163,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Networks Plus,Perpetual,ITOM,ITOM On Prem,per managed asset - average Device Endpoint ,184,PRP-00007164,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Serverless Assets Plus (250-Pack),OPS,ITOM,ITOM On Prem,per managed asset - average Serverless Asset ,541.76,PRP-00007169,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Serverless Assets Plus (250-Pack),Perpetual,ITOM,ITOM On Prem,per managed asset - average Serverless Asset ,16253,PRP-00007170,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Servers Plus,OPS,ITOM,ITOM On Prem,per managed asset - average Server Endpoint ,52.26,PRP-00007167,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Servers Plus,Perpetual,ITOM,ITOM On Prem,per managed asset - average Server Endpoint ,1568,PRP-00007168,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Storage Plus,OPS,ITOM,ITOM On Prem,per managed asset - average Port ,30.76,PRP-00007165,Transition,USA List Prices 
BMC Helix Continuous Optimization OnPrem for Storage Plus,Perpetual,ITOM,ITOM On Prem,per managed asset - average Port ,923,PRP-00007166,Transition,USA List Prices 
BMC Helix Custom Applications - Concurrent User,Platform,ITSM,ITSM SaaS,per concurrent user - SaaS ,283.55,PRP-00000472,Generally Available,USA List Prices 
BMC Helix Custom Applications - Reporting User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,8.04,PRP-00002401,Transition,USA List Prices 
BMC Helix Custom Applications - User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,128.73,PRP-00000482,Generally Available,USA List Prices 
BMC Helix Custom Applications (German Regulated Cloud) - Concurrent User,SaaS,ITSM,ITSM SaaS,per concurrent user - SaaS ,340.27,PRP-00000474,Generally Available,USA List Prices 
BMC Helix Custom Applications (German Regulated Cloud) - User,SaaS,ITSM,ITSM SaaS,per named user - SaaS ,113.42,PRP-00000473,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS - Concurrent User,Platform,ITSM,ITSM SaaS,per concurrent user - SaaS ,283.55,PRP-00000468,Transition,USA List Prices 
BMC Helix Custom Applications on AWS - Reporting User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,8.04,PRP-00002402,Transition,USA List Prices 
BMC Helix Custom Applications on AWS - User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,128.55,PRP-00000481,Transition,USA List Prices 
BMC Helix Custom Applications on AWS (DoD Impact Level 4) - Concurrent User,Platform,ITSM,ITSM SaaS,per concurrent user - SaaS ,486.58,PRP-00000469,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS (DoD Impact Level 4) - Reporting User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,11.56,PRP-00000477,Transition,USA List Prices 
BMC Helix Custom Applications on AWS (DoD Impact Level 4) - User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,162.19,PRP-00000478,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS (DoD Impact Level 5) - Concurrent User,SaaS,ITSM,ITSM SaaS,per concurrent user - SaaS ,583.89,PRP-00000479,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS (DoD Impact Level 5) - User,SaaS,ITSM,ITSM SaaS,per named user - SaaS ,194.63,PRP-00000480,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS (FedRAMP) - Concurrent User,Platform,ITSM,ITSM SaaS,per concurrent user - SaaS ,405.48,PRP-00000470,Generally Available,USA List Prices 
BMC Helix Custom Applications on AWS (FedRAMP) - Reporting User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,9.64,PRP-00000476,Transition,USA List Prices 
BMC Helix Custom Applications on AWS (FedRAMP) - User,Platform,ITSM,ITSM SaaS,per named user - SaaS ,135.16,PRP-00000475,Generally Available,USA List Prices 
BMC Helix Custom Applications OnPrem - Concurrent User License,OPS,ITSM,ITSM On Prem,per concurrent user ,177.5,PRP-00003109,Generally Available,USA List Prices 
BMC Helix Custom Applications OnPrem - Concurrent User License,Perpetual,ITSM,ITSM On Prem,per concurrent user ,5325,PRP-00003110,Generally Available,USA List Prices 
BMC Helix Custom Applications OnPrem - User License,OPS,ITSM,ITSM On Prem,per named user ,59,PRP-00003115,Generally Available,USA List Prices 
BMC Helix Custom Applications OnPrem - User License,Perpetual,ITSM,ITSM On Prem,per named user ,1770,PRP-00003116,Generally Available,USA List Prices 
BMC Helix Customer Service Management - Advanced - Concurrent User - MarketZone,SaaS,ITSM,ITSM SaaS,per concurrent user - SaaS ,966.36,PRP-00013947,Generally Available,USA List Prices 
BMC Helix Customer Service Management - Advanced - Named User - MarketZone,SaaS,ITSM,ITSM SaaS,per named user - SaaS ,322.06,PRP-00013948,Generally Available,USA List Prices 
BMC Helix Customer Service Management - Advanced (DoD Impact Level 4) - Concurrent User - MarketZone,SaaS,ITSM,ITSM SaaS,per concurrent user - SaaS ,1623.51,PRP-00015281,Controlled,USA List Prices 
